3142630,20210924,17003189,18.50
3151531,20210924,17010841,14.00
3132299,20210924,17013643,11.00
3172853,20210924,17020930,11.00
3191104,20210924,17023730,11.50
3164492,20210924,17030687,8.00
3166779,20210924,17034518,16.00
3181240,20210924,17041916,10.50
3142865,20210924,17044526,19.00
3131344,20210924,17051095,19.50
3136718,20210924,17053479,19.00
3181385,20210924,17055972,9.00
3181178,20210924,17062136,15.50
3184201,20210924,17064729,18.50
3178073,20210924,17072111,7.50
3137717,20210924,17075460,8.00
3168038,20210924,17081700,11.50
3162278,20210924,17084130,9.00
3131371,20210924,17090691,12.00
3209203,20210924,17093241,7.00
3127079,20210924,17100342,11.50
3159551,20210924,17103520,19.00
3154268,20210924,17105946,20.50
3173087,20210924,17112836,21.50
3125585,20210924,17115577,19.00
3151441,20210924,17123157,10.00
3130561,20210924,17125184,13.50
3158912,20210924,17133114,15.00
3160748,20210924,17140715,20.00
3161990,20210924,17142986,16.00
3192068,20210924,17150359,10.50
3136781,20210924,17153221,16.00
3188063,20210924,17160655,7.50
3129897,20210924,17163450,21.50
3163051,20210924,17170353,21.50
3138437,20210924,17173425,9.00
3130633,20210924,17175898,14.00
3155401,20210924,17182836,17.50
3131894,20210924,17185353,7.50
3136231,20210924,17192658,15.50
3176075,20210924,17195113,17.00
3146564,20210924,17201468,17.50
3195407,20210924,17203897,10.00
3174996,20210924,17211818,13.50
3179243,20210924,17215302,12.50
3195614,20210924,17221975,21.50
3189215,20210924,17224482,14.50
3198242,20210924,17231781,21.50
3170404,20210924,17234376,8.50
3149976,20210924,17241188,10.00
3190899,20210924,17245081,17.00
3139184,20210924,17252239,20.50
3176453,20210924,17255923,13.50
3181484,20210924,17263472,8.00
3136448,20210924,17265814,8.00
3152909,20210924,17273705,7.00
3156022,20210924,17275937,9.00
3195056,20210924,17283854,9.00
3208970,20210924,17291397,11.00
3183103,20210924,17294362,18.50
3197090,20210924,17301137,8.50
3155438,20210924,17304439,18.00
3156879,20210924,17310887,21.50
3124324,20210924,17313290,16.50
3191014,20210924,17315686,7.50
3128474,20210924,17322150,18.00
3125297,20210924,17325056,20.00
3188856,20210924,17331318,11.00
3152611,20210924,17333668,7.50
3163358,20210924,17340376,8.00
3180106,20210924,17342903,20.00
3148292,20210924,17345024,7.50
3136899,20210924,17351960,7.50
3209474,20210924,17355635,21.50
3183374,20210924,17363339,18.50
3149444,20210924,17370814,10.00
3201986,20210924,17373631,12.00
3184913,20210924,17380141,16.50
3161017,20210924,17382153,17.00
3178820,20210924,17385223,11.00
3199782,20210924,17391579,18.00
3177155,20210924,17394930,11.50
3190907,20210924,17402169,19.00
3136853,20210924,17405163,13.50
3202345,20210924,17412403,20.50
3181529,20210924,17420128,10.50
3127871,20210924,17422207,19.50
3209465,20210924,17424216,13.00
3173285,20210924,17430496,19.00
3185110,20210924,17432683,19.50
3193553,20210924,17435851,8.50
